#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
sales_rejected_message_else;There are no orders
# End: Rejected
# Begin: Details
sales_details_title_billing;Billing
sales_details_title_shipping;Shipping
sales_details_title_informations;Informations
sales_details_title_comments;Comments
sales_details_title_products;Products

sales_details_table_company;Company
sales_details_table_fiscal_code;Fiscal code
sales_details_table_trade_register;Trade Register
sales_details_table_bank;Bank
sales_details_table_iban_code;IBAN Code
sales_details_table_function;Function
sales_details_table_department;Department

sales_details_table_name;Name
sales_details_table_cnp;Personal code
sales_details_table_serie;ID number
sales_details_table_address;Address
sales_details_table_country;Country
sales_details_table_county;County
sales_details_table_city;City
sales_details_table_zip;Zip
sales_details_table_phone;Phone
sales_details_table_phone_2;Phone 2
sales_details_table_fax;Fax
sales_details_table_email;Email

sales_details_table_order_id;Order id
sales_details_table_products_cost;Products Cost
sales_details_table_vat;Vat
sales_details_table_tax;Tax
sales_details_table_discount;Discount
sales_details_table_repayment;Repayment
sales_details_table_shipping_cost;Shipping Cost
sales_details_table_total_cost;Total Cost
sales_details_table_payment;Payment
sales_details_table_shipping;Shipping
sales_details_table_order_date;Order Date
sales_details_table_status_changed;Status changed
sales_details_table_status;Status

sales_details_table_sku;SKU
sales_details_table_name;Name
sales_details_table_quantity;Quantity
sales_details_table_price;Price
sales_details_table_total_price;Total Price
# End: Details
# Begin: Add / Edit
sales_add_title_add_order;Add order
sales_add_title_edit_order;Edit order

sales_add_required;Fields marked with <img src="/images/required.gif" width="10" height="8" border="0" align="absmiddle" alt="" /> are required.

sales_add_table_taxes;Taxes
sales_add_table_billing;Billing Information
sales_add_table_shipping;Shipping Information

sales_add_table_products_cost;Products cost
sales_add_table_vat;VAT
sales_add_table_discount;Discount
sales_add_table_repayment;Repayment
sales_add_table_shipping_cost;Shipping cost
sales_add_table_total_cost;Total cost
sales_add_table_payment_method;Payment method
sales_add_table_shipping_method;Shipping method

sales_add_table_individual_person;Individual Person
sales_add_table_legal_person;Legal Person
sales_add_table_company;Company
sales_add_table_fiscal_code;Fiscal code
sales_add_table_trade_register;Trade register
sales_add_table_bank;Bank
sales_add_table_iban_code;IBAN Code
sales_add_table_function;Function
sales_add_table_department;Department

sales_add_table_salutation;Salutation
sales_add_table_first_name;First name
sales_add_table_last_name;Last name
sales_add_table_cnp;Personal code
sales_add_table_serie;ID number
sales_add_table_address;Address
sales_add_table_address_2;Address 2
sales_add_table_country;Country
sales_add_table_county;County
sales_add_table_city;City
sales_add_table_zip;Zip code
sales_add_table_phone;Phone
sales_add_table_phone_2;Phone 2
sales_add_table_fax;Fax
sales_add_table_email;Email
sales_add_table_comments;Comments

sales_add_table_bs;Shipping Details are the same as Billing Details

sales_add_button_submit;Submit
sales_add_button_modify;Modify

sales_edit_card;Card
sales_edit_paypal;paypal
sales_edit_virament_bancar;bank transfer
sales_edit_ramburs;repayment
sales_edit_ramburs_cu_asigurare_pe_marfa;repayment with assurance
# End: Add / Edit
# Begin: Invoices
sales_invoices_table_order_id;Order id
sales_invoices_table_products_cost;Products Cost
sales_invoices_table_discount;Discount
sales_invoices_table_shipping_cost;Shipping Cost
sales_invoices_table_total_cost;Total Cost
sales_invoices_table_name;Name
sales_invoices_table_order_date;Order Date
sales_invoices_table_action;Actions

sales_invoices_table_print_invoice;Print Invoice
sales_invoices_table_print_model;Print Model

sales_invoices_message_else;There are no invoices

sales_invoices_invoice;Invoice
sales_invoices_print;print
sales_invoices_supplier;Supplier:
sales_invoices_buyer;Buyer:
sales_invoices_trade_register;Trade register:
sales_invoices_address;Address:
sales_invoices_county;County:
sales_invoices_iban;IBAN code:
sales_invoices_bank;Bank:
sales_invoices_series;Series: 1, no.:
sales_invoices_date;Date:
