#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
sales_details_table_shipping_cost;Costul de livrare
sales_details_table_total_cost;Costul total
sales_details_table_payment;Metoda de plată
sales_details_table_shipping;Metoda de livrare
sales_details_table_order_date;Data comenzii
sales_details_table_status_changed;Modificat
sales_details_table_status;Status

sales_details_table_sku;SKU
sales_details_table_name;Nume
sales_details_table_quantity;Cantitate
sales_details_table_price;Preţ
sales_details_table_total_price;Preţ total
# End: Details
# Begin: Add / Edit
sales_add_title_add_order;Adaugă comandă
sales_add_title_edit_order;Modifică comandă

sales_add_required;Câmpurile marcate cu <img src="/images/required.gif" width="10" height="8" border="0" align="absmiddle" alt="" /> sunt obligatorii.

sales_add_table_taxes;Taxe
sales_add_table_billing;Detalii Facturare
sales_add_table_shipping;Detalii Livrare

sales_add_table_products_cost;Costul produselor
sales_add_table_vat;TVA
sales_add_table_discount;Reducere
sales_add_table_repayment;Ramburs
sales_add_table_shipping_cost;Cost de livrare
sales_add_table_total_cost;Cost total
sales_add_table_payment_method;Metodă de plată
sales_add_table_shipping_method;Metodă de livrare

sales_add_table_individual_person;Persoană Fizică
sales_add_table_legal_person;Personă Juridică
sales_add_table_company;Compania
sales_add_table_fiscal_code;Codul fiscal
sales_add_table_trade_register;Registrul comerţului
sales_add_table_bank;Banca
sales_add_table_iban_code;Codul IBAN
sales_add_table_function;Funcţia
sales_add_table_department;Departamentul

sales_add_table_salutation;Forma de adresare
sales_add_table_first_name;Nume
sales_add_table_last_name;Prenume
sales_add_table_cnp;CNP
sales_add_table_serie;Serie buletin
sales_add_table_address;Adresa
sales_add_table_address_2;Adresa 2
sales_add_table_country;Tara
sales_add_table_county;Judeţ
sales_add_table_city;Oraş
sales_add_table_zip;Cod poştal
sales_add_table_phone;Telefon
sales_add_table_phone_2;Telefon 2
sales_add_table_fax;Fax
sales_add_table_email;Email
sales_add_table_comments;Comentarii

sales_add_table_bs;Detalii Livrare sunt aceleaşi ca şi Detalii Facturare

sales_add_button_submit;Adaugă
sales_add_button_modify;Modifică

sales_edit_card;card
sales_edit_paypal;paypal
sales_edit_virament_bancar;virament bancar
sales_edit_ramburs;ramburs
sales_edit_ramburs_cu_asigurare_pe_marfa;ramburs cu asigurare pe marfă
# End: Add / Edit
# Begin: Invoices
sales_invoices_table_order_id;Comanda nr.
sales_invoices_table_products_cost;Costul produselor
sales_invoices_table_discount;Reducere
sales_invoices_table_shipping_cost;Costul de divrare
sales_invoices_table_total_cost;Costul total
sales_invoices_table_name;Nume
sales_invoices_table_order_date;Data comenzii
sales_invoices_table_action;Acţiuni

sales_invoices_table_print_invoice;Imprimare Factură
sales_invoices_table_print_model;Imprimare Model

